,Date,User,Tweet
0,2023-03-04 23:59:59+00:00,mirrorballkev13,how was malaysia one of the bottom 2 this week like marcia was right there💀
1,2023-03-04 23:59:59+00:00,damooseter,@filming_chicago @barriobreadco It is better to TASTE good than LOOK good!! Gotta be Gonnella to be great.
2,2023-03-04 23:59:59+00:00,mauveshark,Bad pics but my ds collection had a grail added to it today 😍😍😍 https://t.co/NbOSODYKWr
3,2023-03-04 23:59:59+00:00,IsleneGomes3,@huffnati_ hablou bonito hein
4,2023-03-04 23:59:59+00:00,HaniyaLashae,@brealpeyton @niccoyat The cars? We didn’t even have toddlers the first few years 😭
5,2023-03-04 23:59:59+00:00,hSparkRadio,"On now, Jingle short Vis - Forensics Jingle Short ***"
6,2023-03-04 23:59:59+00:00,madeoflondon,@other_mrs “Packed”
7,2023-03-04 23:59:59+00:00,onboardnavvy,"@brokenbottleboy As an aside, I wish Ian Jolly had followed the Cambridge Grammar's handling of initialisms - no point in authoratative pronouncements when you don't account for established acronyms (scuba, radar), or edge-cases (CD-ROM, jpeg)."
8,2023-03-04 23:59:59+00:00,shieldsdsva,Always grateful to work with my friend Ann Brokaw. @BIOINTERACTIVE  thank you for providing me with opportunities to grow as an educator and facilitator of BioInteractive content. Philly teachers rock! 🧬🧬🧬🥰🥰🥰 https://t.co/DbbGiJJvhi
9,2023-03-04 23:59:59+00:00,OKDoKic,The times they are a-changin’ https://t.co/yoIO84CVEk
10,2023-03-04 23:59:59+00:00,LeachKathleen,@KarinPrimorac @mcmastermvb @McMasterSports Geez. No balance
11,2023-03-04 23:59:59+00:00,raniachem,"@obrienthefourth @wixenoluvlixe @Sc5Coming @ButterflyPhoen2 @ThePopTingz Oh yes my bad, he would do it in front of his female coworkers and or call them on the phone while doing it, what I was remembering was the jokes he made about child molesters and sympathizing with them https://t.co/ZptPyLWB5W"
12,2023-03-04 23:59:59+00:00,cigarcitypro,@ConfusingImages He Who Heisenbergs
13,2023-03-04 23:59:59+00:00,BeastMode4TM,@HopCaterpie nice
14,2023-03-04 23:59:59+00:00,HamRadioBasics,"Just arrived in the mail today ! 

Yaesu FT 891 Powerpole Kit Has Arrived ! #Yaesu #YaesuFT891 #YaesuFT891PowerPoleKit #HamRadio #HameRadioBasics 
https://t.co/8glT7tI877 via 
@YouTube"
15,2023-03-04 23:59:59+00:00,renjuncullen,@haechluver @sanrawrxd no fighting ! we are a team !
16,2023-03-04 23:59:59+00:00,butterrfiies,"@nalar4a helouuur teh nall , hapsun ugha ! 🐄🤍 . okaayy thankies, have a great day too ! 😋🤎"
17,2023-03-04 23:59:59+00:00,stillstylan,@northstarhenry DONT JENNIFER BLAME ME SMH
18,2023-03-04 23:59:59+00:00,tressler_dylan,@alx Yeah Kari should be the vp
19,2023-03-04 23:59:59+00:00,joe_andrewss,@gunter_andreas @PabloReborn5 @batto2016 @natesaundersF1 Someone is hurt😂😂😂😂😂
20,2023-03-04 23:59:59+00:00,grimeymunson,@dollcide omg I always miss monster mania bc I never know when it is LMFAO
