,Unnamed: 0,ID,text,image,text.1,image.1,text.2,image.2,tweet,text_polarity,image_polarity,polarity
0,0,2499,1,1,0,0,1,1,"Knocked doors with the venerable #TeamTrudeau #lpc candidate @kylejpeterson this aft in my hometown, Aurora! #elxn42",1,1,1
1,1,2500,0,1,1,1,0,0,Canvassing for @ElectKellyYEG #yegfed #elxn42,1,1,1
2,2,2501,-1,-1,0,0,1,1,An NPD gov't would institutionalize mediocrity #elxn42 #polqc,0,0,0
3,3,2502,1,1,1,1,1,1,"""""I think it's time for change"""" - Ana Commit to Vote: #GenerationTrudeau #SFU #LPC #elxn42 http://t.co/hv2oIUdXIb",1,1,1
5,5,2504,1,0,1,1,1,0,Rdy to watch @ThomasMulcair rock it tnight in the @globeandmail debate at @WinnipegNews CafÃÂ© #NDP #cdnpoli #elxn42,1,1,1
6,6,2505,1,0,0,0,1,1,Can't wait to vote for @kenthehr and @JustinTrudeau on October 19. #cdnpoli #elxn42 #RealChange Go @TeamHehr,1,1,1
7,7,2506,0,0,1,1,0,0,"Vote for NDP is vote for another Harper. #elxn42 Andrew Thomson, Mulcair's financial adviser http://t.co/e6qTJi5vVH",1,1,1
8,8,2507,1,1,0,0,0,-1,The end of the road and destined for the scrap heap #HarperBus #Canada #cdnpoli #elxn42,1,0,1
9,9,2508,-1,0,-1,0,-1,0,?? Who is who and does what in the #elxn42 Conservative War Room? #CPC #CDNpoli #CANpoli http://t.co/ez5WknckYS,-1,0,-1
10,10,2509,-1,-1,-1,-1,0,0,Ã¢â¬Â¦this particular government Ã¢â¬â led by this particular PM Ã¢â¬â plays by a different set of rules. #cdnpoli #elxn42,-1,-1,-1
11,11,2510,0,0,0,0,0,0,This year I'm voting Alliance. #Elxn42,0,0,0
12,12,2511,0,1,0,0,0,1,Great AM with riding neighbors @Carolyn_Bennett &amp; @marcomendicino sharing our #LPC plan for #RealChange! #DVW #elxn42,0,1,1
13,13,2512,0,0,0,0,0,0,Another good question for @ThomasMulcair @JustinTrudeau Can you explain this to Canadians? #elxn42 #polqc #fed2015,0,0,0
14,14,2514,1,1,0,1,0,0,"Laureen Harper speaks at gathering hosted by MP Rona Ambrose this morning in Stony Plain, Alta. #elxn42 @RonaAmbrose",1,1,1
15,15,2515,1,1,1,0,1,1,Ford fans launch website urging Doug to run for HarperÃ¢â¬â¢s job: #cdnpoli #elxn42 #cpc http://t.co/lpa7KXcF7W,1,1,1
16,16,2516,1,1,0,0,1,1,#ndpmajority on the way! #elxn42 @ConstanceBarnes introduces @ThomasMulcair our next PM! #stopharper #heavesteve,1,1,1
17,17,2517,0,0,0,0,0,0,The Ballot Question in 2015? Integrity Matters. #cdnpoli #elxn42 #elxn2015 http://t.co/NSwTddCHS8,0,0,0
18,18,2518,0,0,1,0,1,1,Live in #Winnipeg South Centre riding? I recommend looking into @Andrew_D_Park #elxn2015 park4wsc.ca @CanadianGreens,1,1,1
19,19,2519,0,0,0,0,0,0,"And the """"other"""" guy is just not ready? 1-man-show? #elxn2015 #elxn42 #cdnpoli #nicetoupeethough #Harperman #peegate",0,0,0
20,20,2520,1,1,0,0,0,1,This girl in the background shares my feelings of Mr. Harper when he speaks. #elxn42 #yawn,1,1,1
21,21,2521,0,0,0,0,0,-1,Throwback Thursday #Cdnpoli #elxn42 #Syria #AlanKurdi #Chrisalexander https://t.co/SrBW6i7NyZ,0,-1,-1
22,22,2522,1,1,0,-1,1,1,Had another great time with @Delxnxy #RenaissanceFestival,1,1,1
23,23,2523,-1,-1,-1,-1,-1,-1,"Canada among most vulnerable large economies. Quick, rearrange deckchairs. #cdnpoli #elxn42 https://t.co/VM832onYkj",-1,-1,-1
24,24,2524,-1,-1,0,0,0,0,"Jason Kenny Redefines """"deficit"""" Next gives opinion on """"Unicorns and leprechauns"""" #cdnpoli #elxn42",-1,-1,-1
25,25,2525,1,-1,1,-1,1,-1,"Today is #InternationalDayofDemocracy? Oh, great day to remind @pmharper that he is Good to Go! #elxn42 #cdnpoli",1,-1,0
26,26,2526,-1,-1,-1,1,0,1,#Cdnpoli: Who in their RIGHT MIND hires a disbarred lawyer? #elxn42 #CPC,-1,1,0
27,27,2527,1,1,1,1,0,0,Wonderful morning at Mon Sheong meeting seniors who want #realchange. Thx Martin for the tour! #LPC #AORRH #elxn42,1,1,1
28,28,2528,0,0,0,0,0,0,"Too good not to share! Brodie, Giorno, Wright, Novack, &amp; now for your political meme pleasure... #elxn42 #cdnpoli",0,0,0
