ID,RawText,Text,Image,Label
2499,knocked doors with the venerable candidate this aft in my hometown aurora,positive,positive,positive
2500,canvassing for,neutral,positive,positive
2502,i think it is time for change ana commit to vote,positive,positive,positive
2504,rdy to watch rock it tnight in the debate at café,positive,neutral,positive
2505,can not wait to vote for and on october 19 go,positive,neutral,positive
2506,vote for ndp is vote for another harper andrew thomson mulcairs financial adviser,neutral,neutral,neutral
2508,who is who and does what in the conservative war room,negative,neutral,positive
2509,this particular government led by this particular pm plays by a different set of rules,negative,negative,negative
2510,this year i am voting alliance,neutral,neutral,neutral
2511,great am with riding neighbors amp sharing our plan for,neutral,positive,positive
2512,another good question for can you explain this to canadians,neutral,neutral,neutral
2514,laureen harper speaks at gathering hosted by mp rona ambrose this morning in stony plain alta,neutral,positive,positive
2515,ford fans launch website urging doug to run for harpers job,positive,positive,positive
2516,on the way introduces our next pm,positive,positive,positive
2517,the ballot question in 2015 integrity matters,neutral,neutral,neutral
2518,live in south centre riding i recommend looking into park4wscca,positive,neutral,positive
2519,and the other guy is just not ready 1manshow,neutral,neutral,neutral
2520,this girl in the background shares my feelings of mr harper when he speaks,neutral,positive,positive
2521,throwback thursday,neutral,neutral,neutral
2522,had another great time with,positive,positive,positive
2523,canada among most vulnerable large economies quick rearrange deckchairs,negative,negative,negative
2524,jason kenny redefines deficit next gives opinion on unicorns and leprechauns,neutral,neutral,neutral
2526,who in their right mind hires a disbarred lawyer,negative,positive,positive
2527,wonderful morning at mon sheong meeting seniors who want thanks martin for the tour,positive,positive,positive
2528,too good not to share brodie giorno wright novack amp now for your political meme pleasure,neutral,neutral,neutral
2529,another day another sign going up massive support for in mississauga centre,positive,positive,positive
2530,some of the candidates here in amp,neutral,neutral,neutral
2531,seems that your assessment about not supporting is shared,neutral,neutral,neutral
2534,cpc candidate gabriel purcarus when i asked him about his deleted fb page,negative,negative,negative
2535,so what happened in 2007,negative,neutral,positive
2537,reasons to donate pc party progressive canadian party today veterans affairs,neutral,neutral,neutral
2538,is solar 2day volunteering 4 omar,positive,positive,positive
2539,amazing introduces so cool that both also have women campaign managers,positive,positive,positive
2540,jack welch only 2 words matter for leaders truth amp trust,positive,positive,positive
2542,larry koopman will vote 2015 because we must preserve our democracy,neutral,neutral,neutral
2543,we need 2400 users in you can be one of the first,positive,neutral,positive
2545,growing the economy requires a strong team the depth of experience of the is incredible amp unmatched,neutral,neutral,neutral
2548,powerful new attack ad by looking for funding to air on tv,neutral,neutral,neutral
2549,integrity matters social contract w canada must be honoured progressive canadians,positive,positive,positive
2550,pcparty hon sinclair stevens former progressive conservative pm joe clark on refugees,neutral,neutral,neutral
2551,trudeaus first economic move if he were pm call for a first ministers meeting on climate change,positive,neutral,positive
2552,prosperity canada pc party seven pillars for bringing prosperity to canada,neutral,neutral,neutral
2554,the delusions of david frums mind canadas prodigal republican son,neutral,neutral,neutral
2555,post rally ice cream stop with the team thanks for the delicious ice cream,positive,positive,positive
2556,who led defending canadians rights amp freedoms spoke out when no other pol would,neutral,neutral,neutral
2557,harper calls on vets for support staff does not read the whole email,negative,neutral,positive
2558,katha fortier will vote in 2015 because she wants our canada back,positive,positive,positive
2559,you live by the surveillance state you die by the surveillance state,negative,negative,negative
2560,laura weston ndp candidate for midnapore calgary exciting,neutral,positive,positive
2563,wind destroys flimsy signs at 78th amp king george but one strong one remains,positive,neutral,positive
2564,want to ask an candidate a question,positive,positive,positive
2566,much lpc ndp do do about nothin,neutral,neutral,neutral
2567,announcing plan for improving canadas health care,neutral,neutral,neutral
2568,gun registry amp another will he or will not he,neutral,neutral,neutral
2569,harper policies cut manufacturing from 18 of cdas economy in 2000 to 10,positive,positive,positive
2570,yes yes there is for,neutral,neutral,neutral
2571,why is your sign on my lawn we did not request this,negative,negative,negative
2572,official email intern,neutral,neutral,neutral
2573,orange wave rolled into vancouver today,neutral,neutral,neutral
2574,did not follow last week check out our hatley report for everything you need to know,positive,neutral,positive
2576,he will vote in 2015 because he wants his canada back,positive,positive,positive
2577,on 621 i ran the 47km city riding boundary does that count,neutral,neutral,neutral
2579,hints apology not attending debate amp electors,positive,neutral,positive
2581,met hon after hearing announce faster professional certification 4 new canadians,positive,positive,positive
2582,brilliant cat that,neutral,neutral,neutral
2583,everyone is hyped for in,positive,positive,positive
2584,here is tom trying to convince canadians that socialism is not socialism,positive,neutral,positive
2585,cmon wake up rest of canada and come play on nobody west of ontario,positive,neutral,positive
2586,we are talking and j could not be happier proud of and the,positive,positive,positive
2590,makes another pointless promise amp new nothing,negative,negative,negative
2591,support organizations like that call for evidence informed policies on drugs,positive,positive,positive
2592,these many yrs of fedl hsg ministers that did not launch a natl hsg program,neutral,neutral,neutral
2593,senior conservatives buy into fact pulled from nether region by serial fantasist,neutral,neutral,neutral
2594,local dark horse gets in on the game if only the voting process was as easy as buying a coffee,neutral,neutral,neutral
2595,why would you say something so derogatory,neutral,neutral,neutral
2596,yukoners are lucky to have the baddest of badass mps representing them go get them ryan,positive,positive,positive
2597,hey i thought you were not going to pander to the politics of fear and divisiveness,neutral,neutral,neutral
2598,just a,negative,negative,negative
2599,how learned to dodge questions,neutral,neutral,neutral
2600,ray novak may have been but was by,neutral,neutral,neutral
2601,re we need to stop the creep of degradation of civil liberties,neutral,neutral,neutral
2602,rona ambrose and laureen harper speak at a gathering this morning in stony plain alta,positive,positive,positive
2603,ready for the roundtable discussion today in,neutral,neutral,neutral
2604,got the coolest button today thanks only 42 days left,positive,positive,positive
2608,do not understand why keeps using this cheesy imagery how do boxing amp primeministership correspond,negative,negative,negative
2610,election most important for sask economy in a generation expert,neutral,neutral,neutral
2611,great crowds not sure where it is,neutral,neutral,neutral
2612,column harpers refugee crisis response is hampering his campaign,neutral,neutral,neutral
2613,canadian politics is so much fun,positive,positive,positive
2614,why am i part of because cares about for students across canada,positive,neutral,positive
2615,liberals offering retirement security for seniors,positive,positive,positive
2616,transfers make great incentives,positive,neutral,positive
2618,this wee guy did not pee on my porch afaik,negative,negative,negative
2619,canadas harsh austerity policies started with paul martin amp the liberals,neutral,neutral,neutral
2620,i am walking across raising awareness for need it on agenda,positive,positive,positive
2621,nurses vote platform yes to,neutral,positive,positive
2622,anothercdn media guild how to champion public broadcasting during the election,neutral,neutral,neutral
2623,ndps up now talking about lack of affordable housing and poverty,positive,neutral,positive
2624,my folks have their sign up for south centre,positive,neutral,positive
2625,saw this walking about today tories be feeling the love in,neutral,negative,positive
2626,here is last weeks hatley report sign up on our website to receive it earlier,neutral,neutral,neutral
2627,todays editorial at midpoint we are on track toward a minority govt,neutral,neutral,neutral
2628,harper and accountability then and now,neutral,neutral,neutral
2630,just arrived for a night of fun amp conversation with constituents,positive,neutral,positive
2631,bcuz if harper had his way he would cancel labour day,neutral,neutral,neutral
2633,um this is scary,neutral,neutral,neutral
2634,poach cpc talking points i call copyright infringement at least try to be original,neutral,negative,positive
2635,the new conservative morality,neutral,neutral,neutral
2637,mylene freeman supports via,neutral,neutral,neutral
2638,con candidates can not attend all candidates debates talk to media democracy,positive,positive,positive
2639,in between calls sign blitz canvassing team is out in massive force today,neutral,neutral,neutral
2640,you can use to see changing policy positions on still relevant issues,neutral,negative,positive
2642,gets thumbs down at booth in,neutral,positive,positive
2643,the only choice for a stronger economy and a safer canada,positive,positive,positive
2646,pay attention to who is engaging w ntns between elxns bc that shows true willingness see attach,neutral,neutral,neutral
2647,huge fan girl moment as i chatted w former prime minister paul martin 2day,positive,positive,positive
2648,calls loan sharks friends,neutral,positive,positive
2649,ouch painful to see as backdrop for,negative,negative,negative
2650,conservative party of canada the place for men with convictions,negative,negative,negative
2651,a great night to meet the residents in deer run,positive,positive,positive
2652,message to earthlings rainbow followed ends at sign in green is the new gold,neutral,neutral,neutral
2653,angry resident reminded local candidate to ask first before putting sign up,negative,negative,negative
2654,waiting for at rally in,neutral,neutral,neutral
2655,know what gets me angry no talk of primarily in help me fix that,positive,positive,positive
2656,canvassedwaterloo area yesterday people so sick of the cons my job to tell them about,positive,positive,positive
2657,plans coming in very near future to help stephen harper,positive,positive,positive
2658,regardless of pension issues we should not pull out of syria stand by our troops in the,neutral,neutral,neutral
2659,michelle jean renounced her french citizenship before becoming govgen,neutral,neutral,neutral
2661,harper tax cuts amp credits,neutral,neutral,neutral
2662,timely art exhibition in ottawa this october,neutral,negative,positive
2663,great group shot from yesterdays in,positive,positive,positive
2664,remember this on isis,negative,negative,negative
2667,neb monitors media yet admits the board is not privy to this information,neutral,positive,positive
2668,here is a clue as the record of failure clearly indicates,neutral,neutral,neutral
2669,my mom amp campaign volunteers watch my cbc skype interview fm the campaign office thanks ampfriends in,positive,positive,positive
2670,rev is the progressive canadian candidate in,neutral,positive,positive
2671,october 19 is accountability day,neutral,negative,positive
2673,welfare rates comparison in because one up 122 since 2007 the other up 0 since 2007,neutral,neutral,neutral
2674,wait i thought we were boycotting tims what is stephen harper doing,neutral,positive,positive
2675,glad amp strongly agree ntns should have more ctrl,neutral,neutral,neutral
2676,stop mulcair,negative,neutral,positive
2677,dumb meets dumber,neutral,positive,positive
2678,will this sign influence two elections this fall,neutral,negative,positive
2679,my favourite sign location this week for obvious reasons,positive,neutral,positive
2681,read s latest blog a letter to my patients,neutral,positive,positive
2682,pm harper on justin tom and isis,negative,negative,negative
2683,bombing campaigns turn innocents into refugees canadians send humanitarian message to,negative,negative,negative
2686,defence platforms gt via,neutral,positive,positive
2687,predebate photo op one of these men will be the next prime minister of canada,positive,positive,positive
2688,some of the youth on our regular tuesday with rob in,positive,positive,positive
2691,justin et al,neutral,neutral,neutral
2692,vote conservative patrick brown today if you live in,neutral,negative,positive
2693,choose,neutral,neutral,neutral
2694,right now on saying bill c51 must be repealed a must watch,negative,neutral,positive
2695,this is what you call pulling over to recruit volunteers in,positive,neutral,positive
2696,quick bring on a diversion,neutral,negative,positive
2697,all of these candidates not attending,negative,neutral,positive
2698,this is what a packed room looks like came out for,neutral,neutral,neutral
2699,conservatives believe in meaningful symbols,positive,positive,positive
2700,looks like nom meeting will b full house you still have til 7 30pm est to register,neutral,neutral,neutral
2701,emojis you wish you had from,positive,positive,positive
2703,well this tweet story written by is generating some buzz in parts of the country,neutral,neutral,neutral
2706,disclaimer there are no second class citizens during an election campaign offer expires 101915,negative,negative,negative
2707,good justin trudeau holds joint news conference with montreal mayor denis coderre,neutral,neutral,neutral
2711,better is always possible justin trudeau on oct 19 help us create a better canada,positive,neutral,positive
2712,who is paying to promote this editorial are they complying with spending rules,neutral,positive,positive
2713,must be awful being the only on in the office who is out of the loop,negative,positive,positive
2714,todays editorial cartoon by,positive,positive,positive
2715,1 excoriating ndps spending on sun said she is working in ottawa no talk of cpc boss,neutral,neutral,neutral
2716,jerry dias will vote in 2015 because canada deserves better,positive,positive,positive
2717,looking for a primer on what happened in this week here is our hatley report,neutral,neutral,neutral
2718,the fundamental flaws in the canadian health care system dr david naylor,negative,neutral,positive
2719,we need as many people as possible to hear about now during season,negative,negative,negative
2720,ran into on the campaign trail go,positive,positive,positive
2721,it looks like team is winning the battle on the ground with the,neutral,neutral,neutral
2723,in life of one must choose between or consequence,neutral,negative,positive
2725,guelph your candidate in is tristan deen,neutral,neutral,neutral
2726,got my buttons got my sign i am ready to rock also s volunteers are the nicest,positive,positive,positive
2727,veterans cheer trudeaus promise of new day in pensions benefits,positive,positive,positive
2728,this is cool 51 days days till we defeat stephen harper and repeal the dangerous,neutral,neutral,neutral
2729,and justin on putin,neutral,neutral,neutral
2731,seems like and the have things upside down hants,negative,negative,negative
2733,canadian media guild registers as a third party in,neutral,neutral,neutral
2734,there is a difference,neutral,negative,positive
2737,calling in the heavy hitter,neutral,neutral,neutral
2738,canada at this time in history,neutral,neutral,neutral
2739,harper would have us repeat the mistakes that have lead us into two recessions,negative,positive,positive
2741,i am on the agenda sept 9 8 amp 11pm discussing election wynne v harper because onts 121 seats,neutral,neutral,neutral
2742,mulcairs deception record has always been clear media just did not report it schools do not reach it,negative,positive,positive
2743,the federal candidates for spadinafort york presented their ideas tonight to the,neutral,neutral,neutral
2745,good article on why strategic voting is a sellout,neutral,neutral,neutral
2747,where was the outrage for this event,neutral,neutral,neutral
2748,thank you 4 more years please merci 4 ans de plus svp,neutral,positive,positive
2749,relaxed and havin fun,positive,neutral,positive
2751,great night less than 5 we spoke to so far tonight supporting other parties,neutral,neutral,neutral
2752,hey stephen call an election they said,positive,positive,positive
2753,if abortion is a settled issue in than why people get upset with images of abortion,negative,negative,negative
2754,now speaking on behalf of the about national food policy,neutral,neutral,neutral
